Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
110,1398,2,True,True,True,۱ ساعت پیش در تهران، قیطریه,۱۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان
145,1400,3,True,True,True,۱ ساعت پیش در تهران، پونک، بلوار کمالی (بلوار عدل شمالی),۱۹٬۵۷۵٬۰۰۰٬۰۰۰ تومان
135,1390,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۹٬۹۰۰٬۰۰۰٬۰۰۰ تومان
123,1396,2,True,True,True,۱ ساعت پیش در تهران، هروی,۱۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان
230,1401,3,True,True,True,۱ ساعت پیش در تهران، یوسف‌آباد,۳۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
230,1401,3,True,True,True,۱ ساعت پیش در تهران، امیرآباد,۲۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان
215,1400,4,True,True,True,۱ ساعت پیش در تهران، یوسف‌آباد,۲۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان
168,1400,3,True,True,True,۱ ساعت پیش در تهران، سازمان برنامه,۲۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
210,1389,3,True,True,True,۱ ساعت پیش در تهران، محمودیه,۳۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان
50,1396,1,False,True,True,۱ ساعت پیش در تهران، اندیشه (شهر زیبا),۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان
118,1401,2,True,True,True,۱ ساعت پیش در تهران، قیطریه,۱۸٬۲۸۰٬۰۰۰٬۰۰۰ تومان
47,1401,1,True,False,False,۱ ساعت پیش در تهران، گرگان,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان
125,1394,3,True,True,True,۱ ساعت پیش در تهران، جنت‌آباد جنوبی,۱۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان
45,1388,1,False,False,True,۱ ساعت پیش در تهران، جی,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان
103,1401,2,True,True,False,۱ ساعت پیش در تهران، نواب,۴٬۳۸۰٬۰۰۰٬۰۰۰ تومان
157,1401,3,True,True,True,۱ ساعت پیش در تهران، دریاچه شهدای خلیج فارس,۸٬۵۵۰٬۰۰۰٬۰۰۰ تومان
85,1382,2,True,True,True,۱ ساعت پیش در تهران، کوی فردوس,۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان
158,1401,3,True,True,True,۱ ساعت پیش در تهران، شهرآرا,۱۸٬۹۰۰٬۰۰۰٬۰۰۰ تومان
225,1401,3,True,True,True,۱ ساعت پیش در تهران، دروس,۶۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان
270,1400,4,True,True,True,۱ ساعت پیش در تهران، دروس,۵۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان
235,1401,4,True,True,True,۱ ساعت پیش در تهران، دروس,۷۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
